match_id,date,map,mode,season,agent,team,tier,rounds_won,rounds_lost,kills,deaths,assists,score,hs_pct,dmg_made,dmg_received,win,kd,hour,weekday,session_id,match_in_session
49739a56-cbf7-40de-97a5-b0c4627cf180,2022-05-09 10:06:50.660000+02:00,Fracture,Competitive,e4a3,Omen,blue,13,13,9,16,17,10,5135,15.1,3646,3159,1,0.94,10,Lundi,0,1
2226898a-4670-4cf0-9f9d-bc05feb5d2c2,2022-05-09 10:52:51.605000+02:00,Bind,Competitive,e4a3,Omen,red,13,13,9,15,17,5,3858,16.1,2202,3202,1,0.88,10,Lundi,0,2
dcc05882-30ff-4ba6-886a-26c3af8883f3,2022-05-09 11:41:11.065000+02:00,Breeze,Competitive,e4a3,Breach,blue,13,7,13,14,17,4,4244,14.6,2330,3095,0,0.82,11,Lundi,0,3
0d5ba64c-9f62-4e2c-9a8a-92a81f27c72c,2022-06-20 21:52:04.012000+02:00,Ascent,Competitive,e4a3,Omen,red,18,13,11,27,16,1,6738,23.6,3672,3212,1,1.69,21,Lundi,1,1
1d76475b-fef3-4227-8534-b8fabc825b41,2022-06-27 15:36:59.165000+02:00,Fracture,Competitive,e5a1,Fade,blue,18,12,14,20,16,13,6131,13.3,4142,3095,0,1.25,15,Lundi,2,1
7a748a3a-6548-4a21-bdf7-84ca69bdf27f,2022-10-10 15:22:19.175000+02:00,Bind,Competitive,e5a2,Fade,red,23,13,9,26,12,9,7804,33.8,5027,2330,1,2.17,15,Lundi,3,1
ce726d7a-45cc-42c2-9023-0f6a5738fa86,2022-10-16 01:00:02.230000+02:00,Bind,Competitive,e5a2,Fade,red,23,10,13,13,16,8,4238,15.4,3324,3003,0,0.81,1,Dimanche,4,1
902ff758-7011-4a51-8169-20c5dc76ea85,2022-10-17 14:02:06.675000+02:00,Pearl,Competitive,e5a2,Omen,red,23,5,13,23,13,2,6105,35.6,4201,2783,0,1.77,14,Lundi,5,1
79115e15-6891-498e-af6a-40fc7bd8af38,2022-10-18 09:43:50.443000+02:00,Ascent,Competitive,e5a2,Chamber,red,23,13,11,33,15,5,8392,23.2,5102,2659,1,2.2,9,Mardi,6,1
e9a5a1ed-fec5-4bfb-ada8-b9f55a5f1bcb,2022-10-19 23:19:55.059000+02:00,Icebox,Competitive,e5a3,Chamber,blue,0,13,3,10,9,1,2692,24.1,1731,1942,1,1.11,23,Mercredi,7,1
33ba6d5e-8cfa-4cf2-95dc-d4d92f286bd9,2022-10-28 23:15:34.385000+02:00,Fracture,Competitive,e5a3,Omen,red,24,7,13,19,16,6,6064,31.5,3918,2847,0,1.19,23,Vendredi,8,1
1a766a16-c81b-413d-99ba-807144bf30da,2022-11-24 22:34:37.750000+01:00,Breeze,Competitive,e5a3,Chamber,red,24,6,13,15,13,1,3919,21.4,2316,2398,0,1.15,22,Jeudi,9,1
311fe514-5412-4607-9a72-6045f4e0f386,2022-11-25 19:54:38.580000+01:00,Pearl,Competitive,e5a3,Omen,red,24,13,5,5,11,4,1499,33.3,1024,1735,1,0.45,19,Vendredi,10,1
45236084-3540-4dca-9834-ef57281a2c32,2022-11-28 13:49:09.019000+01:00,Icebox,Competitive,e5a3,KAY/O,blue,24,10,13,15,18,13,4321,18.2,2935,3264,0,0.83,13,Lundi,11,1
76d522c4-bc62-4f33-a364-a994ab188b4f,2022-11-29 14:19:19.220000+01:00,Pearl,Competitive,e5a3,Phoenix,blue,24,13,9,15,14,2,4439,14.8,2851,3089,1,1.07,14,Mardi,12,1
464b408a-5d20-46d0-a7fc-4c28715a76cd,2022-12-03 16:20:03.384000+01:00,Haven,Competitive,e5a3,Chamber,blue,24,13,10,12,18,4,3514,19.0,2535,3341,1,0.67,16,Samedi,13,1
4582e8bb-d173-4dfe-a0bd-6a5fe8bbe802,2022-12-06 02:52:37.115000+01:00,Pearl,Competitive,e5a3,Jett,blue,24,13,9,21,15,5,6075,26.7,4030,2931,1,1.4,2,Mardi,14,1
af178be7-5956-48c3-bd34-81194bcc95d6,2022-12-30 23:14:39.891000+01:00,Breeze,Competitive,e5a3,Viper,red,23,0,5,3,5,0,879,33.3,538,856,0,0.6,23,Vendredi,15,1
93b6b8c2-c8bb-4562-87cf-273b59d0637c,2023-01-07 10:40:23.377000+01:00,Ascent,Competitive,e5a3,Omen,red,23,13,11,17,17,7,4809,28.6,3026,3231,1,1.0,10,Samedi,16,1
3cf92258-7f6f-44de-85fe-c979ab8d52dd,2023-01-13 16:17:37.001000+01:00,Haven,Competitive,e6a1,Omen,red,20,13,3,15,6,13,3920,23.7,2386,1194,1,2.5,16,Vendredi,17,1
30e923cb-0ca5-4045-b612-1d90fa6dffa5,2023-02-28 18:34:49.931000+01:00,Lotus,Competitive,e6a1,Harbor,blue,23,10,13,18,15,9,4828,17.8,2952,3047,0,1.2,18,Mardi,18,1
142a2002-62b5-4d54-8140-a3abe6691dbc,2023-02-28 20:53:24.509000+01:00,Pearl,Competitive,e6a1,Fade,blue,23,11,13,20,18,8,5826,26.7,3987,3311,0,1.11,20,Mardi,19,1
ae0b1028-623f-4bf7-b89d-06fd58ec0185,2023-03-05 15:39:12.829000+01:00,Haven,Competitive,e6a1,Jett,blue,23,13,11,22,19,6,6419,23.1,4253,3574,1,1.16,15,Dimanche,20,1
86852c14-45cd-4945-83cf-a5e84f86e2d3,2023-03-06 12:07:22.430000+01:00,Haven,Competitive,e6a1,KAY/O,blue,23,13,7,8,15,17,3034,11.1,2081,2574,1,0.53,12,Lundi,21,1
